file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,46,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,33
style.css,47,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,48,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,49,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,15
style.css,50,css,1a5f50c3,siyasathaye,2026-04-17,20:02:25,-07:00,2026-04-17T20:02:25-07:00,1,45
style.css,51,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,20
style.css,52,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,53,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,54,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,13
style.css,55,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,45
style.css,56,css,1a5f50c3,siyasathaye,2026-04-17,20:02:25,-07:00,2026-04-17T20:02:25-07:00,1,69
style.css,57,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,58,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,59,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,23
style.css,60,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,4
style.css,61,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,12
style.css,62,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,30
style.css,63,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,7
style.css,64,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,65,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,66,css,1a5f50c3,siyasathaye,2026-04-17,20:02:25,-07:00,2026-04-17T20:02:25-07:00,0,10
style.css,67,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,12
style.css,68,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,29
style.css,69,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,18
style.css,70,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,71,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,72,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,4
style.css,73,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,7
style.css,74,css,1a5f50c3,siyasathaye,2026-04-17,20:02:25,-07:00,2026-04-17T20:02:25-07:00,0,5
style.css,75,css,1a5f50c3,siyasathaye,2026-04-17,20:02:25,-07:00,2026-04-17T20:02:25-07:00,0,6
style.css,76,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,12
style.css,77,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,78,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,79,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,4
style.css,80,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,8
style.css,81,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,10
style.css,82,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,21
style.css,83,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,84,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,85,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,6
style.css,86,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,18
style.css,87,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,10
style.css,88,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,18
style.css,89,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,18
style.css,90,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,24
style.css,91,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,14
style.css,92,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,1,14
style.css,93,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,94,css,d9907e7e,siyasathaye,2026-04-08,23:52:09,-07:00,2026-04-08T23:52:09-07:00,0,0
style.css,95,css,1a5f50c3,siyasathaye,2026-04-17,20:02:25,-07:00,2026-04-17T20:02:25-07:00,0,13
